target, time, size
24542,5700,1000
24165,5700,1000
24165,5700,1000
24543,5700,1000
24543,5700,1000
24165,5700,1000
24542,5700,1000
55127,5750,1000
25676,5750,1000
24165,5750,1000
24543,5750,1000
24543,5750,1000
24165,5750,1000
24165,5750,1000
24543,5750,1000
24542,5750,1000
24543,5750,1000
38514,5800,1000
25676,5800,1000
24542,5800,1000
24542,5800,1000
24921,5800,1000
24543,5800,1000
24920,5800,1000
24920,5800,1000
24542,5800,1000
24543,5800,1000
54372,5850,1000
24920,5850,1000
23787,5850,1000
23787,5850,1000
23410,5850,1000
23410,5850,1000
23410,5850,1000
23410,5850,1000
23410,5850,1000
23410,5850,1000
39646,5900,1000
26053,5900,1000
25298,5900,1000
25298,5900,1000
25298,5900,1000
28696,5900,1000
25298,5900,1000
25675,5900,1000
25298,5900,1000
26053,5900,1000
52861,5950,1000
27563,5950,1000
25298,5950,1000
25298,5950,1000
25676,5950,1000
25298,5950,1000
25676,5950,1000
25298,5950,1000
25676,5950,1000
25298,5950,1000
57770,6000,1000
25675,6000,1000
24166,6000,1000
24543,6000,1000
24543,6000,1000
24165,6000,1000
24165,6000,1000
24165,6000,1000
24165,6000,1000
24543,6000,1000
40024,6050,1000
26808,6050,1000
26431,6050,1000
26053,6050,1000
26053,6050,1000
26430,6050,1000
26053,6050,1000
26053,6050,1000
26053,6050,1000
26431,6050,1000
57770,6100,1000
26053,6100,1000
25298,6100,1000
24543,6100,1000
24920,6100,1000
24921,6100,1000
24543,6100,1000
24543,6100,1000
24921,6100,1000
24920,6100,1000
40024,6150,1000
27941,6150,1000
26430,6150,1000
26809,6150,1000
26808,6150,1000
26808,6150,1000
26808,6150,1000
26431,6150,1000
26808,6150,1000
26430,6150,1000
57015,6200,1000
28319,6200,1000
26808,6200,1000
26809,6200,1000
26808,6200,1000
26431,6200,1000
26808,6200,1000
26809,6200,1000
26430,6200,1000
26809,6200,1000
56637,6250,1000
28319,6250,1000
26808,6250,1000
26808,6250,1000
27186,6250,1000
26808,6250,1000
27186,6250,1000
26808,6250,1000
26431,6250,1000
44932,6250,1000
42289,6300,1000
26431,6300,1000
25676,6300,1000
25675,6300,1000
25298,6300,1000
25675,6300,1000
25676,6300,1000
25675,6300,1000
25297,6300,1000
25298,6300,1000
58525,6350,1000
28696,6350,1000
27185,6350,1000
27186,6350,1000
27185,6350,1000
27564,6350,1000
27563,6350,1000
27186,6350,1000
27186,6350,1000
27563,6350,1000
45687,6400,1000
33605,6400,1000
32472,6400,1000
32094,6400,1000
32472,6400,1000
32472,6400,1000
32472,6400,1000
32095,6400,1000
32094,6400,1000
32472,6400,1000
59658,6450,1000
28696,6450,1000
27941,6450,1000
27941,6450,1000
27563,6450,1000
27563,6450,1000
27563,6450,1000
27941,6450,1000
27942,6450,1000
27564,6450,1000
47198,6500,1000
29074,6500,1000
27941,6500,1000
27941,6500,1000
27941,6500,1000
27941,6500,1000
27941,6500,1000
27941,6500,1000
27941,6500,1000
27941,6500,1000
58903,6550,1000
28319,6550,1000
26431,6550,1000
26431,6550,1000
26431,6550,1000
26431,6550,1000
26430,6550,1000
26431,6550,1000
26431,6550,1000
26808,6550,1000
61546,6600,1000
29829,6600,1000
28318,6600,1000
28319,6600,1000
28319,6600,1000
28318,6600,1000
28697,6600,1000
28696,6600,1000
28318,6600,1000
28319,6600,1000
44555,6650,1000
29829,6650,1000
28697,6650,1000
29073,6650,1000
28319,6650,1000
28696,6650,1000
28696,6650,1000
29074,6650,1000
28696,6650,1000
28696,6650,1000
60413,6700,1000
29829,6700,1000
29074,6700,1000
28697,6700,1000
28697,6700,1000
29074,6700,1000
29074,6700,1000
28697,6700,1000
28696,6700,1000
28696,6700,1000
81558,6750,1000
38891,6750,1000
29451,6750,1000
29074,6750,1000
29074,6750,1000
29073,6750,1000
28696,6750,1000
29074,6750,1000
29073,6750,1000
29073,6750,1000
60413,6800,1000
29074,6800,1000
27941,6800,1000
27564,6800,1000
27563,6800,1000
27563,6800,1000
27564,6800,1000
27564,6800,1000
27941,6800,1000
27563,6800,1000
69853,6850,1000
37758,6850,1000
36625,6850,1000
36248,6850,1000
50596,6850,1000
32472,6850,1000
33227,6850,1000
37380,6850,1000
32472,6850,1000
32094,6850,1000
1130480,6900,1000
365877,6900,1000
353417,6900,1000
299800,6900,1000
270726,6900,1000
274502,6900,1000
271859,6900,1000
269216,6900,1000
263929,6900,1000
330384,6900,1000
319812,6950,1000
852202,6950,1000
377204,6950,1000
336803,6950,1000
319434,6950,1000
282808,6950,1000
265062,6950,1000
279411,6950,1000
264307,6950,1000
253357,6950,1000
344355,7000,1000
276012,7000,1000
205026,7000,1000
157074,7000,1000
135930,7000,1000
177463,7000,1000
183505,7000,1000
181994,7000,1000
178974,7000,1000
254490,7000,1000
277145,7050,1000
259021,7050,1000
158207,7050,1000
133286,7050,1000
128378,7050,1000
124602,7050,1000
122336,7050,1000
124224,7050,1000
117428,7050,1000
116672,7050,1000
318301,7100,1000
276012,7100,1000
188413,7100,1000
179351,7100,1000
146879,7100,1000
146879,7100,1000
148012,7100,1000
150655,7100,1000
168024,7100,1000
151410,7100,1000
241275,7150,1000
223151,7150,1000
169912,7150,1000
154053,7150,1000
150655,7150,1000
143481,7150,1000
143859,7150,1000
146502,7150,1000
144236,7150,1000
141593,7150,1000
285452,7200,1000
266195,7200,1000
172177,7200,1000
141215,7200,1000
134041,7200,1000
129888,7200,1000
130643,7200,1000
132154,7200,1000
126867,7200,1000
127622,7200,1000
280166,7250,1000
261664,7250,1000
171044,7250,1000
